,Aetna,Aflac,Americo,Corebridge,,Mutual of Omaha,,,Transamerica,American Amicable,,Instabrain,,,,,,,,,,,Ethos,,Liberty Bankers,Royal Neighbors,,Foresters
FFL Contract,Whole Life,Final Ex,Eagle Select,GIWL,SIWL,Living Promise (FEX),Children's WL,Accidental Death,Express Sol.,Senior/Family Choice,Family Protector,Final Expense WL,Final Expense WL,Final Expense WL,Guaranteed Issue WL,Guaranteed Issue WL,Guaranteed Issue WL,RD Senior Life Whole Life,RD Senior Life Whole Life,RD Senior Life Whole Life,Accidental DB,Accidental ROP Rider,TruStage TAWL,TruStage GAWL,FX,Royal Legacy SPWL,SI Whole Life,Planright
145,-,-,135%,-,-,125%,100%,130%,140%,125%,130%,127.50%,102.50%,87.50%,73%,52.50%,42.50%,90%,65%,40%,90%,55%,120%,30%,-,-,-,-
140,144%,123%,135%,80%,132%,125%,100%,130%,140%,125%,130%,125%,100%,85%,70%,50%,40%,85%,60%,35%,85%,50%,120%,27.50%,125%,16%,125%,120%
135,137%,118%,130%,77.50%,127%,120%,97%,125%,135%,120%,125%,122.50%,97.50%,82.50%,68%,47.50%,37.50%,80%,55%,30%,80%,45%,115%,25%,120%,15%,120%,115%
130,130%,113%,125%,75%,122%,115%,95%,120%,130%,115%,120%,120%,95%,80%,65%,45%,35%,75%,50%,25%,75%,40%,110%,22.50%,115%,14%,110%,110%
125,125%,108%,120%,72.50%,117%,110%,92%,115%,125%,110%,115%,117.50%,92.50%,77.50%,63%,42.50%,32.50%,70%,45%,20%,70%,35%,105%,20%,110%,13%,100%,105%
120,120%,100%,115%,70%,112%,105%,90%,110%,120%,105%,110%,115%,90%,75%,60%,40%,30%,65%,40%,15%,65%,30%,100%,17.50%,105%,13%,100%,100%
115,115%,93%,110%,67.50%,107%,100%,85%,105%,115%,100%,105%,112.50%,87.50%,72.50%,58%,37.50%,27.50%,60%,35%,10%,60%,25%,95%,15%,100%,13%,100%,95%
110,107.50%,85%,105%,65%,102%,95%,80%,100%,110%,95%,100%,110%,85%,70%,55%,35%,25%,55%,30%,5%,55%,20%,90%,12.50%,95%,13%,95%,90%
105,100%,78%,100%,62.50%,97%,90%,75%,95%,105%,90%,95%,107.50%,82.50%,67.50%,53%,32.50%,22.50%,50%,25%,5%,50%,15%,85%,10%,90%,12%,90%,85%
100,92.50%,70%,95%,60%,92%,86%,70%,90%,100%,85%,90%,105%,80%,65%,50%,30%,20%,45%,20%,5%,45%,10%,82.50%,7.50%,85%,11%,85%,80%
95,85%,70%,90%,57.50%,87%,82%,65%,85%,95%,80%,85%,102.50%,77.50%,62.50%,48%,27.50%,17.50%,40%,15%,5%,40%,5%,80%,5%,80%,10%,80%,75%
90,77.50%,70%,85%,57.50%,82%,78%,60%,80%,90%,75%,80%,100%,75%,60%,45%,25%,15%,35%,10%,5%,35%,5%,77.50%,2.50%,75%,9%,75%,70%
85,70%,63%,80%,55%,77%,74%,55%,75%,85%,70%,75%,97.50%,72.50%,57.50%,43%,22.50%,12.50%,30%,5%,5%,30%,5%,75%,2.50%,70%,7%,45%,65%
80,70%,63%,75%,55%,72%,70%,50%,70%,80%,65%,70%,95%,70%,55%,40%,20%,10%,25%,5%,5%,25%,5%,72.50%,2.50%,65%,7%,45%,60%
75,70%,63%,70%,55%,67%,65%,45%,65%,75%,60%,65%,92.50%,67.50%,52.50%,38%,17.50%,7.50%,20%,5%,5%,20%,5%,65%,2.50%,60%,7%,45%,60%
70,70%,63%,65%,55%,62%,61%,40%,60%,70%,55%,60%,90%,65%,50%,35%,15%,5%,15%,5%,5%,15%,5%,60%,2.50%,55%,7%,45%,60%
65,70%,63%,60%,55%,57%,57%,35%,55%,70%,50%,55%,90%,65%,50%,35%,15%,5%,15%,5%,5%,15%,5%,55%,2.50%,50%,7%,45%,60%
,,,,,,,,,,,,Ages 50 - 69,Ages 70 - 79,Ages 80+,Ages 50 - 69,Ages 70 - 79,Ages 80+,Ages 50 - 69,Ages 70 - 79,Ages 80+,,,,,,,,
,,,,,,,,,,,"*I think this is a WL, may be a Term product",,,,,,,,,,,,,,,,,
*Last Updated 3/10/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
